pictures,agreed_category,agreement_score_category,level_average,agreement_score_level
alpha_study_60_img\face of a boy with piercings(1).jpg,,0.0,,0.0
alpha_study_60_img\face of a boy with glasses.jpg,,0.0,,0.0
alpha_study_60_img\ap_4.jpg,Unrealistic,1.0,3.33,0.0
alpha_study_60_img\nf_5.jpg,Number of Features,1.0,3.33,0.0
alpha_study_60_img\face of a woman (2).jpg,,0.0,,0.0
alpha_study_60_img\realistic (5).jpg,Unrealistic,1.0,5.0,1.0
alpha_study_60_img\female nose(12).jpg,Wrong Aspect,1.0,4.0,0.0
alpha_study_60_img\face of an old man with beard (6).jpg,Unrealistic,0.67,3.5,0.75
alpha_study_60_img\natural face.jpg,No Errors,1.0,0.0,1.0
alpha_study_60_img\face of an older man.jpg,,0.0,,0.0
alpha_study_60_img\female face(3).jpg,Alignment Problem,0.67,1.5,0.75
alpha_study_60_img\realistic (12).jpg,Number of Features,1.0,2.33,0.5
alpha_study_60_img\face of a smiling child(2).jpg,Unrealistic,1.0,4.67,0.0
alpha_study_60_img\female face(23).jpg,Alignment Problem,0.67,2.0,1.0
alpha_study_60_img\child.jpg,Number of Features,1.0,4.33,0.0
alpha_study_60_img\realistic face.jpg,No Errors,0.67,0.0,1.0
alpha_study_60_img\ip_3.jpg,Incorrect Proportion,1.0,1.33,0.0
alpha_study_60_img\realistic side face (3).jpg,No Errors,0.67,0.0,1.0
alpha_study_60_img\face of a girl with a tattoo(2).jpg,Unrealistic,0.67,2.0,0.5
alpha_study_60_img\young boy.jpg,Unrealistic,1.0,4.67,0.0
alpha_study_60_img\pp_1.jpg,Alignment Problem,0.67,2.0,0.5
alpha_study_60_img\female face(5).jpg,Alignment Problem,0.67,1.0,1.0
alpha_study_60_img\sleeping face(3).jpg,Number of Features,0.67,4.0,1.0
alpha_study_60_img\face of a sleeping girl.jpg,Number of Features,0.67,3.5,0.75
alpha_study_60_img\face of a woman.jpg,,0.0,,0.0
alpha_study_60_img\face of a little girl with a tattoo1.jpg,Wrong Aspect,0.67,2.5,0.75
alpha_study_60_img\realistic (17).jpg,No Errors,0.67,0.0,1.0
alpha_study_60_img\adolescent (2).jpg,Unrealistic,0.67,3.5,0.75
alpha_study_60_img\realistic (24).jpg,Incorrect Proportion,0.67,2.5,0.75
alpha_study_60_img\female nose(2).jpg,Wrong Aspect,0.67,3.0,1.0
alpha_study_60_img\realistic (2).jpg,Incorrect Proportion,0.67,1.5,0.75
alpha_study_60_img\female face (1).jpg,Wrong Aspect,0.67,3.0,1.0
alpha_study_60_img\face of a sleeping boy(1).jpg,Number of Features,1.0,3.33,0.5
alpha_study_60_img\old man face (1).jpg,No Errors,1.0,0.0,1.0
alpha_study_60_img\face of a girl with a tattoo(3).jpg,No Errors,0.67,0.0,1.0
alpha_study_60_img\old lady face.jpg,,0.0,,0.0
alpha_study_60_img\realistic face (1).jpg,Unrealistic,1.0,3.0,1.0
alpha_study_60_img\face of an older woman.jpg,,0.0,,0.0
alpha_study_60_img\realistic (22).jpg,,0.0,,0.0
alpha_study_60_img\female face(15).jpg,Unrealistic,1.0,2.67,0.5
alpha_study_60_img\correct_3.jpg,No Errors,1.0,0.0,1.0
alpha_study_60_img\face of a smiling man with long red hair.jpg,Alignment Problem,0.67,1.0,1.0
alpha_study_60_img\face of a girl with glasses(2).jpg,No Errors,1.0,0.0,1.0
alpha_study_60_img\face of a young# girl with a tattoo (3).jpg,Unrealistic,1.0,3.67,0.0
alpha_study_60_img\Teenage girl sleeping (2).jpg,,0.0,,0.0
alpha_study_60_img\realistic face (30).jpg,Number of Features,1.0,4.67,0.0
alpha_study_60_img\child face (3).jpg,Number of Features,1.0,4.67,0.0
alpha_study_60_img\face of a girl(1).jpg,Incorrect Proportion,0.67,1.5,0.75
alpha_study_60_img\school girl face (1).jpg,Number of Features,1.0,2.33,0.0
alpha_study_60_img\school boy face (2).jpg,Unrealistic,0.67,3.0,0.5
alpha_study_60_img\realistic face of a young girl (3).jpg,Unrealistic,1.0,2.67,0.5
alpha_study_60_img\realistic face (47).jpg,No Errors,0.67,0.0,1.0
alpha_study_60_img\male face(8).jpg,Unrealistic,0.67,2.0,0.5
alpha_study_60_img\face of a man with a tattoo3.jpg,No Errors,0.67,0.0,1.0
alpha_study_60_img\face of a man with glasses1.jpg,No Errors,1.0,0.0,1.0
alpha_study_60_img\face of a boy with glasses(2).jpg,Unrealistic,0.67,1.5,0.75
alpha_study_60_img\face of a woman (7).jpg,No Errors,1.0,0.0,1.0
alpha_study_60_img\face of an old man with beard (3).jpg,Unrealistic,0.67,3.5,0.75
alpha_study_60_img\child face(3).jpg,Unrealistic,1.0,3.67,0.0
alpha_study_60_img\female face(19).jpg,Alignment Problem,1.0,2.33,0.0
