pictures,agreed_category,agreement_score_category,level_average,agreement_score_level
images\sleeping face(4).jpg,Number of Features,0.67,2.0,0.5
images\realistic (7).jpg,No Errors,0.67,0.0,1.0
images\realistic face (2).jpg,Unrealistic,1.0,2.67,0.5
images\face of a smiling man with long red hair(1).jpg,,0.0,,0.0
images\face of a girl with piercings2.jpg,No Errors,1.0,0.0,1.0
images\realistic face (43).jpg,,0.0,,0.0
images\nf_2.jpg,Unrealistic,1.0,3.33,0.5
images\child face(7).jpg,Number of Features,0.67,2.5,0.75
images\face of a man (1).jpg,Incorrect Proportion,1.0,1.67,0.75
images\realistic face (7).jpg,,0.0,,0.0
images\face(2).jpg,Unrealistic,1.0,2.0,0.5
images\adolescent.jpg,No Errors,0.67,0.0,1.0
images\sleeping face(5).jpg,Alignment Problem,0.67,1.5,0.75
images\face of a smiling girl with red hair.jpg,Unrealistic,1.0,3.67,0.5
images\face of a boy with piercings(3).jpg,,0.0,,0.0
images\ugly male face(3).jpg,Unrealistic,0.67,2.0,1.0
images\female face(8).jpg,Unrealistic,1.0,3.33,0.75
images\realistic face (9).jpg,No Errors,0.67,0.0,1.0
images\face of a sleeping boy(2).jpg,Number of Features,0.67,2.5,0.75
images\face of a smiling boy(2).jpg,Unrealistic,1.0,3.67,0.75
images\realistic (13).jpg,No Errors,0.67,0.0,1.0
images\female face(31).jpg,,0.0,,0.0
images\realistic face (8).jpg,,0.0,,0.0
images\face of a darkskinned woman.jpg,No Errors,0.67,0.0,1.0
images\nf_4.jpg,Number of Features,0.67,2.5,0.75
images\female face(11).jpg,,0.0,,0.0
images\realistic face (46).jpg,Unrealistic,1.0,4.33,0.5
images\female face(9).jpg,Unrealistic,0.67,3.0,1.0
images\boy face (1).jpg,Alignment Problem,0.67,1.5,0.75
images\child face.jpg,Number of Features,1.0,4.0,0.5
images\female face(30).jpg,Unrealistic,1.0,3.67,0.5
images\female face(21).jpg,Number of Features,0.67,3.5,0.25
images\sleeping face(2).jpg,Number of Features,1.0,4.67,0.75
images\realistic face of a young girl (2).jpg,Unrealistic,0.67,2.0,0.0
images\ip_1.jpg,,0.0,,0.0
images\face of a smiling darkskinned woman(1).jpg,Unrealistic,1.0,2.33,0.5
images\correct_5.jpg,,0.0,,0.0
images\correct_4.jpg,No Errors,0.67,0.0,1.0
images\realistic face (4).jpg,Incorrect Proportion,0.67,1.5,0.75
images\face of a man with a face piercing.jpg,No Errors,0.67,0.0,1.0
images\old man face (2).jpg,Incorrect Proportion,1.0,1.33,0.5
images\face of a boy with piercings(2).jpg,,0.0,,0.0
images\face of a girl.jpg,Unrealistic,0.67,2.0,1.0
images\old lady face (5).jpg,,0.0,,0.0
images\nf_6.jpg,Number of Features,0.67,2.5,0.75
images\face of a sleeping girl(1).jpg,Unrealistic,1.0,3.67,0.75
images\realistic face (17).jpg,Wrong Aspect,0.67,1.0,0.5
images\face of a sleeping boy(3).jpg,Unrealistic,1.0,4.0,0.5
images\face(5).jpg,Number of Features,1.0,3.33,0.75
images\unreal_1.jpg,Unrealistic,1.0,4.33,0.5
images\child face (2).jpg,Number of Features,0.67,2.5,0.75
images\ugly male face.jpg,No Errors,0.67,0.0,1.0
images\female face(13).jpg,,0.0,,0.0
images\ip_2.jpg,,0.0,,0.0
images\female face(18).jpg,Unrealistic,0.67,3.0,1.0
images\old lady face (4).jpg,,0.0,,0.0
images\child face(2).jpg,Unrealistic,0.67,4.5,0.75
images\face of a darkskinned man(1).jpg,Unrealistic,1.0,2.0,0.5
images\face of a woman with black hair(2).jpg,,0.0,,0.0
images\female face(22).jpg,,0.0,,0.0
images\realistic face (13).jpg,Unrealistic,0.67,3.0,0.5
images\realistic face (41).jpg,,0.0,,0.0
images\face of a boy with piercings.jpg,No Errors,1.0,0.0,1.0
images\realistic (20).jpg,Unrealistic,1.0,4.0,0.5
images\young boy (1).jpg,,0.0,,0.0
images\8.jpg,,0.0,,0.0
images\face of a man with glasses2.jpg,No Errors,1.0,0.0,1.0
